"","n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica","cena","kat_cenowa"
"632",2,66,8320,1930,3,4,"Stare Miasto",549120,"4. bardzo drogie"
"633",2,39,9208,2013,0,0,"Krzyki",359112,"4. bardzo drogie"
"634",3,71,5917,2017,2,5,"Krzyki",420107,"3. drogie"
"635",3,63,5016,1980,2,11,"Fabryczna",316008,"1. bardzo tanie"
"636",3,64,7577,1996,3,5,"Srodmiescie",484928,"4. bardzo drogie"
"637",4,83,5167,1984,9,11,"Krzyki",428861,"1. bardzo tanie"
"638",3,68,7044,2013,0,0,"Fabryczna",478992,"4. bardzo drogie"
"639",3,62.79,6530,1950,3,4,"Stare Miasto",410018.7,"3. drogie"
"640",1,25,8400,1970,4,4,"Stare Miasto",210000,"4. bardzo drogie"
"641",3,64,5922,1961,1,4,"Krzyki",379008,"3. drogie"
"642",4,112,4107,2014,0,0,"Krzyki",459984,"1. bardzo tanie"
"643",2,65,5523,2003,3,4,"Krzyki",358995,"2. tanie"
"644",3,65,5523,2003,3,4,"Krzyki",358995,"2. tanie"
"645",2,54.2,5332,2000,0,0,"Krzyki",288994.4,"2. tanie"
"646",4,84,5821,1998,0,0,"Fabryczna",488964,"3. drogie"
"647",4,90.5,4840,1991,6,6,"Srodmiescie",438020,"1. bardzo tanie"
"648",3,60,5667,1983,1,10,"Fabryczna",340020,"2. tanie"
"649",3,63,6905,1995,1,4,"Psie Pole",435015,"4. bardzo drogie"
